RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
1,15721958,Onio,587,France,Female,42,2,33034.51,1,1,1,99027.0,0
2,15746867,Hill,721,Spain,Male,35,3,0.0,2,0,1,165044.13,0
3,15731932,Jones,516,Germany,Female,43,7,64090.13,2,1,0,284.86,1
4,15703694,Brown,378,Spain,Male,23,9,161476.48,2,1,0,50256.33,1
5,15719879,Brown,775,Spain,Male,31,2,154697.96,1,0,1,5916.02,0
6,15710268,Garcia,674,France,Female,31,4,0.0,2,0,0,109623.87,0
7,15654886,Lewis,754,Spain,Male,30,4,0.0,1,1,0,94609.17,0
8,15737337,Hargrave,772,Spain,Male,47,4,3493.61,2,1,0,151683.03,0
9,15768266,Jackson,561,Germany,Female,48,4,0.0,1,0,0,22570.0,1
10,15687498,Hill,655,France,Female,18,8,104762.47,2,1,0,166081.95,0
11,15712727,Jones,699,Spain,Male,19,9,43437.52,1,1,1,14444.04,0
12,15726324,Onio,639,France,Female,40,4,0.0,2,1,0,168951.76,1
13,15775203,Mitchell,619,Germany,Male,33,10,20854.08,1,1,0,110264.51,0
14,15791335,Chu,629,France,Male,37,10,59659.53,1,1,1,18267.76,0
15,15616023,Onio,755,Germany,Female,42,8,0.0,2,1,0,6204.71,0
16,15641090,Miller,624,Spain,Female,56,8,67400.76,1,0,1,159569.85,1
17,15667221,Lewis,708,France,Male,38,10,0.0,1,1,0,63433.01,0
18,15664820,Smith,683,Spain,Female,47,9,126950.8,1,0,1,189022.89,1
19,15600769,White,556,France,Female,34,3,68586.95,3,1,0,197500.88,1
20,15659735,Boni,679,Germany,Female,43,8,0.0,2,0,1,160427.57,0
21,15794027,Brown,500,Germany,Male,46,10,151644.54,1,1,0,152464.81,1
22,15664925,Thompson,688,France,Female,33,1,0.0,1,1,1,143212.52,0
23,15799041,Hargrave,736,Germany,Female,32,2,0.0,1,1,1,39771.04,0
24,15605311,White,758,Spain,Female,34,0,0.0,2,1,1,30767.98,0
25,15703355,Martin,557,France,Female,47,10,57910.83,2,1,1,80885.16,0
26,15784779,White,597,Germany,Male,46,6,10963.96,2,1,0,189041.29,0
27,15685305,Martin,677,Germany,Male,18,9,0.0,1,1,0,6643.65,0
28,15759765,Boni,603,France,Male,34,10,0.0,1,1,1,164112.7,0
29,15730608,Lewis,462,Spain,Male,43,8,143149.76,1,0,1,82366.59,0
30,15756730,He,597,Germany,Female,54,2,29849.08,2,1,1,6485.46,0
31,15684478,Obinna,677,France,Female,38,7,0.0,1,1,0,35674.15,1
32,15722537,Davis,753,France,Female,42,0,0.0,2,1,0,196247.66,0
33,15749503,Boni,813,France,Male,40,5,71026.16,1,1,0,163036.8,0
34,15730523,Williams,662,Germany,Male,33,5,100277.06,1,1,1,165624.15,1
35,15602747,Mitchell,704,Germany,Male,25,4,51370.46,2,1,1,109804.12,0
36,15723855,Clark,743,Germany,Female,26,3,0.0,2,1,0,7898.91,1
37,15790222,Smith,451,Spain,Female,46,2,16020.49,1,1,1,163610.63,0
38,15665725,Johnson,551,France,Female,40,3,0.0,1,1,1,94703.59,0
39,15729981,Harris,659,Germany,Male,31,6,112546.85,2,1,0,142958.91,0
40,15684654,Hill,800,Spain,Female,24,6,91901.56,2,1,1,149155.18,1
41,15766845,Obinna,711,Spain,Male,46,2,1427.02,2,0,1,8071.91,0
42,15719346,Taylor,681,France,Male,29,10,0.0,2,1,0,45062.64,0
43,15667435,Robinson,627,Germany,Male,45,9,44991.23,1,1,1,166584.7,0
44,15656886,Hill,691,France,Male,37,2,184059.44,2,0,0,98279.96,1
45,15666803,White,592,France,Female,38,2,82150.25,3,0,0,6367.97,0
46,15631551,Thompson,574,Spain,Female,56,4,0.0,1,1,1,191841.45,0
47,15716216,Bartlett,582,France,Male,18,0,186663.84,1,0,0,123617.04,1
